ISSCAP CODE,Species,Category,Source,Family,SpcID,StudyLocality,Region,StartYear,EndYear,Gear,GScore,GRank,Sex,K,KRank,M,F,Z,Tzero,ExpRate,ERRank,LenYear1,LenYear2,LenYear3,LenYear4,Yield,FecundityMin,FecundityMax,Fecundity,FcRank,MeanSizeMin,MeanSizeMax,MeanSize,LengthRangeMin,LengthRangeMax,Lr,Linf,LinfRank,MeanSizeByLinf,MeanSizeByLm,LrByLinf,LrRank,LmMin,LmMax,Lm,LmBL,LmRank,SpawningSeason,NumSpawningMonths,NSMRank,Dist,DistRank,MTL,MTLRank,BLD,BLDRank,CPI,CPIRank,PriceRank,RankTotal
34,Saurida tumbil,LD,"IJMS, 1997,26 Chakraborty et al",SYNODONTIDAE,0472,Maharashtra,NW,1987,1990,Trawlnet,9.2,3,C,0.51,2,1,1.8,2.8,0,0.6428571,4,0,0,0,0,0,0,0,79202,4,0,0,0,0,0,110,600,4,0,0,0.1833333333,6,0,0,318,0.53,6,JUL-OCT,4,5,82,6,4.14,2,6.3,3,298.6,4,4,53
34,Saurida tumbil,LD,CMFRI annual report 2008-2009,SYNODONTIDAE,0472,Veravel,NW,2007,2008,Trawlnet,9.2,3,C,0.16,1,0.46,0,0,0,0,,0,0,0,0,,0,0,79202,4,0,0,0,0,,85,493.5,4,49.35,0,0.1722391084,6,0,0,318,0.6443768997,4,"July-Oct, Unimodal",4,5,82,6,4.14,2,6.3,3,298.6,4,4,
34,Saurida undosquamis,SD,Vivekanandan 2002 FAO Bkok,SYNODONTIDAE,0473,Chennai,SE,2000,2000,Trawlnet,9.3,3,C,0.815,3,1.31,2.43,3.74,0,0.6497326,4,0,0,0,0,0,16542,183632,183632,6,0,0,0,0,0,70,345,5,0,0,0.2028985507,5,0,0,230,0.6666666667,3,,5,4,17.63,1,4.3,2,7.692307692,3,81.5,1,3,43
34,Saurida undosquamis,SD,Vivekanandan FAO 2000,SYNODONTIDAE,0473,Chennai,SE,2000,2000,Trawlnet,9.3,3,C,0.815,3,1.31,2.434,3.744,0,0.6501068,4,0,0,0,0,0,16542,183632,183632,6,0,0,0,0,0,70,345,5,0,0,0.2028985507,5,0,0,230,0.6666666667,3,,5,4,17.63,1,4.3,2,7.692307692,3,81.5,1,3,43
34,Saurida undosquamis,SD,Sivakami et al 2009 unpubl,SYNODONTIDAE,0473,Cochin,SW,1992,1999,Trawlnet,9.3,3,C,0.47,2,0.99,1.84,2.83,0,0.6501767,4,152,247,306,343,0,16542,183632,183632,6,0,0,0,370,370,90,405,4,0,0,0.2222222222,5,,0,200,0.4938271605,6,"Sep,Oct,Nov.Dec, Jan, Feb,Mar",7,3,17.63,1,4.3,2,7.692307692,3,662.8,6,3,48
34,Saurida undosquamis,SD,"IJF 50(2),2003 RAJKUMAR",SYNODONTIDAE,0473,VISAKHAPATANAM,SE,1990,2001,TRAWL,9.3,3,C,0.31,2,0.76,1.05,1.81,0,0.5801105,3,105,182,0,0,0,0,0,183632,6,0,0,0,0,0,70,395,5,0,0,0.1772151899,6,0,0,230,0.582278481,5,"OCT,NOV,DEC,JAN,FEB",5,4,17.63,1,4.3,2,7.692307692,3,81.5,1,3,44
34,Saurida undosquamis,SD,"IJMS, 1997,26 Chakraborty et al",SYNODONTIDAE,0473,Maharashtra,NW,1987,1990,Trawlnet,9.3,3,C,0.51,2,1.1,1.42,2.52,0,0.5634921,3,0,0,0,0,0,0,0,183632,6,0,0,0,0,0,178,421,4,0,0,0.4228028504,3,0,0,0,0,0,,5,4,17.63,1,4.3,2,7.692307692,3,298.6,4,3,38
34,Saurida undosquamis,SD,CMFRI annual report 2008-2009,SYNODONTIDAE,0473,Veravel,NW,2007,2008,Trawlnet,9.3,3,C,0.19,1,0.54,0,0,0,0,,0,0,0,0,,0,0,183632,6,0,0,0,0,0,178,409.5,4,0,0,0.4346764347,3,0,0,0,0,0,April-May&July-SeptBimodal,5,4,17.63,1,4.3,2,7.692307692,3,298.6,4,3,
34,Saurida undosquamis,SD,CMFRI annual report 2008-2009,SYNODONTIDAE,0473,Andhra Pradesh,SE,2007,2008,Trawl,9.3,3,C,0.33,2,0.777,0.96,1.76,0,0.5454546,3,0,0,0,0,0,0,0,183632,6,0,0,0,0,0,70,398,5,0,0,0.175879397,6,0,0,230,0.5778894472,5,,5,4,17.63,1,4.3,2,7.692307692,3,81.5,1,3,44
37,Harpadon nehereus,SP,"IJMS, 1997,26 Chakraborty et al",HARPADONTIDAE,0501,Maharashtra,NW,1987,1990,Dolnet,11.2,4,C,0.73,3,1.53,1.57,3.1,0,0.5064517,3,0,0,0,0,0,0,0,878400,6,0,0,0,0,0,15,413,4,0,0,0.03631961259,6,0,0,230,0.5569007264,5,"Feb,Mar,Jun-Oct",7,3,63.01,4,3.7,3,7,3,298.6,4,4,52
